x,y,team,type,popularity,score
11740,4040,200,1,2500,180
3064,10880,200,1,2395,167
6574,4748,200,1,1908,163
8550,4824,200,1,1742,155
3138,6590,200,1,15,142
10562,3034,200,1,1593,135
13476,2770,200,1,1788,129
5298,9130,200,1,1102,127
9588,5688,200,1,961,120
12072,9484,200,1,11,113
10390,4998,200,1,95,110
8152,4366,200,1,94,110
5724.339,9508.828,200,1,58,109
4712,9100,200,1,12,107
3408,7760,200,1,687,102
5475.345,10507.538,200,1,282,102
10246,5396,200,1,20,102
5008,8452,200,1,493,101
5538,3508,200,1,438,100
2879.5295,8413.733,200,1,77,100
5620,7874,200,1,687,99
7866,6006,200,1,746,99
2898,11314,200,1,1119,96
9990,4760,200,1,95,96
9230.021,2780.5454,200,1,12,96
7038,9952,200,1,42,96
9048.18,4873.826,200,1,107,95
6788,8450,200,1,896,93
8773.287,6724.3823,200,1,825,93
5074.711,7968.2793,200,1,468,93
9550,4890,200,1,112,93
9768,6466,200,1,611,92
8282,6436,200,1,764,92
4476,10476,200,1,16,91
7524.987,5214.415,200,1,336,90
9082,3798,200,1,624,89
7108,3166,200,1,396,88
8106,5646,200,1,630,88
4436,11802,200,1,813,88
4878,10128,200,1,16,87
4144,9408,200,1,11,87
3054,9028,200,1,452,86
5027.246,6119.132,200,1,26,86
10582,4590,200,1,178,85
11112,4622,200,1,15,85
7164,4826,200,1,32,84
4175.4604,8580.024,200,1,60,84
6640,3160,200,1,392,83
10914,9944,200,1,16,83
3614,9964,200,1,20,82
4146.028,7912.957,200,1,98,82
7976,3318,200,1,288,81
9420,2114,200,1,606,81
4804,7120,200,1,404,81
3336,3774,200,1,133,81
2838,7566,200,1,116,80
9028,4472,200,1,180,80
3772,11578,200,1,20,80
3392,7310,200,1,172,80
8474.857,1726.085,200,1,27,79
6260,5330,200,1,128,79
8290,10284,200,1,411,78
8573.168,2907.7666,200,1,46,78
2856,6130,200,1,44,78
10760,8442,200,1,12,78
8920,5770,200,1,36,78
7074.8584,5612.878,200,1,348,77
12032.988,3760.5571,200,1,639,77
11936,5918,200,1,318,77
7006,6950,200,1,570,77
6232,10086,200,1,416,77
3312,2582,200,1,12,77
3488,3144,200,1,28,77
5441.877,2458.3086,200,1,19,76
9950,7776,200,1,398,75
11176,5166,200,1,73,75
5421.373,6308.996,200,1,30,75
6331.1406,3565.1748,200,1,51,75
13392,1670,200,1,12,75
6168,1456,200,1,15,75
11218,7082,200,1,84,74
7888,4818,200,1,168,74
7922.426,11744.027,200,1,196,73
9954,2522,200,1,330,73
10929.143,2561.5188,200,1,38,73
7676.6875,9457.656,200,1,14,72
11106,3834,200,1,63,72
6178,6224,200,1,147,72
9863.109,8259.93,200,1,12,71
5024,5048,200,1,16,71
3377.186,4407.3447,200,1,56,71
11490,3368,200,1,20,71
12548,1348,200,1,730,70
3783.3037,8765.52,200,1,110,70
6540,6656,200,1,288,69
4422,9726,200,1,44,68
10133.93,3936.7012,200,1,45,68
2407.9421,6519.371,200,1,40,68
9650,3458,200,1,50,68
4618,2854,200,1,106,67
10581.551,5810.9063,200,1,109,67
9923.898,1757.8927,200,1,11,67
11085.316,2165.1875,200,1,267,66
11430.8125,8867.957,200,1,186,66
13110,1972,200,1,469,65
7010,11386,200,1,168,65
2292.565,7766.38,200,1,38,65
6606,9480,200,1,48,65
8260,5168,200,1,48,64
11633.937,4805.5293,200,1,61,63
10252,8062,200,1,256,63
3742,9506,200,1,60,62
5984.1084,7606.29,200,1,218,61
2828,4682,200,1,41,61
5650,12722,200,1,94,61
2080,4726,200,1,57,61
6204,9072,200,1,52,61
10423.789,2207.078,200,1,24,61
3824.6506,6728.041,200,1,66,61
5432,5200,200,1,11,61
7768,7428,200,1,80,60
5027.603,4109.4473,200,1,21,60
3536,10532,200,1,18,60
8852,10734,200,1,24,60
6488,11308,200,1,32,60
4464.2383,5375.6553,200,1,32,58
11072.369,9114.121,200,1,156,57
7770,830,200,1,39,57
3834,3882,200,1,54,57
3779.2798,8358.525,200,1,24,57
4408,3298,200,1,34,57
7392,7176,200,1,156,56
12694,5482,200,1,129,56
12069.62,4561.165,200,1,12,56
9564,4094,200,1,34,56
4422,6290,200,1,145,56
6678,11670,200,1,27,55
8023.9106,11224.43,200,1,72,55
9325.172,11458.104,200,1,83,55
11752,1244,200,1,40,55
2474,1444,200,1,24,55
12672.244,4898.3496,200,1,268,54
3056,9972,200,1,74,54
6428,8264,200,1,229,54
6644,10088,200,1,36,54
11656,8524,200,1,26,54
9164,1326,200,1,20,53
912,10602,200,1,12,53
9523.977,7356.082,200,1,19,52
2288,9772,200,1,111,52
7822,2178,200,1,19,52
7062,9542,200,1,74,52
12785.937,6103.502,200,1,66,52
3741.9766,5221.422,200,1,32,51
12080,5206,200,1,28,51
10362,8718,200,1,30,50
1822,11658,200,1,14,50
4364,4578,200,1,60,49
12435.09,8558.793,200,1,12,49
12787.789,6511.6875,200,1,73,49
11732,7960,200,1,36,48
5046,9682,200,1,12,48
7567.6445,4224.3916,200,1,24,48
11602,6538,200,1,39,48
11294,10172,200,1,13,48
11562.594,5363.7935,200,1,40,47
7372,6232,200,1,156,47
10640,9148,200,1,120,46
12382.656,7908.336,200,1,42,46
11920,8984,200,1,38,46
11950,6772,200,1,20,46
7023.464,10598.709,200,1,26,44
6488.4873,5941.0996,200,1,42,44
12354,2408,200,1,27,44
2786.858,10407.799,200,1,52,43
1790,13076,200,1,41,43
7262,6634,200,1,67,42
4873.9053,12664.137,200,1,15,42
12726.852,7521.7734,200,1,24,41
9994.164,11661.114,200,1,14,40
12264,7394,200,1,21,40
2274,13300,200,1,42,40
9794,12148,200,1,30,39
12196,9902,200,1,26,39
11612,1690,200,1,48,38
2052.0806,8355.336,200,1,72,38
6626.21,12158.381,200,1,60,38
2349.4902,7183.826,200,1,36,37
2604,13574,200,1,100,36
14048,6944,200,1,87,36
2477.2925,8908.055,200,1,13,36
1154,12116,200,1,37,35
11768,10054,200,1,25,34
7088,8988,200,1,14,34
7326.94,12723.328,200,1,19,31
10390,1350,200,1,14,29
846,8356,200,1,19,29
9161.84,7051.451,200,1,11,29
8058,7836,200,1,56,28
8432,8346,200,1,44,25
3004,13062,200,1,25,15
