x,y,team,type,popularity,score
9444,5650,200,0,4148,281
3106,8956,200,0,1170,143
9720,6360,200,0,1445,140
6552,4732,200,0,1152,134
5225.6396,10002.883,200,0,60,112
11758,4036,200,0,892,104
8534,4846,200,0,820,104
6720,10074,200,0,36,103
3312,7844,200,0,531,102
5264,9174,200,0,532,101
11522,7226,200,0,434,93
10466,5006,200,0,42,92
10074.277,4595.9326,200,0,384,91
6308,10064,200,0,372,86
3138,10814,200,0,538,84
5148,8556,200,0,240,83
8500,6600,200,0,517,82
4794,10142,200,0,150,82
10596.956,5826.8315,200,0,12,81
6762,3182,200,0,194,80
10456,3056,200,0,346,79
11774,5978,200,0,247,77
8029.1006,4263.545,200,0,16,77
4844,7156,200,0,148,75
4448,11504,200,0,24,75
9956,4076,200,0,87,73
5460,3444,200,0,102,72
10700,4558,200,0,46,72
6864,8560,200,0,327,71
5496,10606,200,0,70,71
5223.208,10925.248,200,0,100,71
7846,3530,200,0,81,71
8288,10288,200,0,205,71
4632,11980,200,0,398,71
2516,5306,200,0,12,70
8190,5742,200,0,14,70
4208,11842,200,0,83,66
12682.836,5464.1113,200,0,162,65
9877.53,7957.808,200,0,99,64
9440,4156,200,0,144,64
2926,11162,200,0,182,63
7924,11784,200,0,184,63
9334,11540,200,0,24,61
4312,9714,200,0,26,61
6758,11442,200,0,90,59
9162,2154,200,0,68,59
2428,9712,200,0,54,58
11140,12154,200,0,16,58
7782,5670,200,0,35,56
1792,12968,200,0,17,54
2609.129,8035.0166,200,0,16,54
5422,12554,200,0,26,53
12348,1366,200,0,57,46
13562,2692,200,0,198,46
13140,1910,200,0,45,42
5310,2164,200,0,24,42
9284,7192,200,0,28,41
12274,5168,200,0,20,41
11493.341,5007.074,200,0,24,36
5994.427,12748.471,200,0,46,32
12140,7404,200,0,24,32
6143.923,3910.2324,200,0,25,31
7680,8856,200,0,12,28
1346,12134,200,0,64,27
2838,10334,200,0,25,13
