x,y,team,type,popularity,score
10378.883,4194.048,200,3,78,119
5625.9336,9524.818,200,3,56,112
5173.9375,10008.745,200,3,64,111
3004,8366,200,3,60,108
10736,5158,200,3,20,106
8035.91,4266.0205,200,3,178,105
4980,9616,200,3,44,103
4818,5052,200,3,18,96
5298,8504,200,3,105,92
3292,3892,200,3,28,90
2904,7416,200,3,89,88
10346,4976,200,3,91,88
7390,5108,200,3,71,87
4482.1797,11446.883,200,3,21,86
8936.752,4964.416,200,3,96,83
5410,10356,200,3,251,83
10914,9944,200,3,16,83
4123.4707,8008.0117,200,3,98,82
1348.8438,13290.332,200,3,28,82
10938.441,2575.5537,200,3,51,82
3408,7306,200,3,65,81
5816.324,4262.1035,200,3,36,78
12060,9502,200,3,13,78
4606,9948,200,3,29,78
11118,3842,200,3,15,77
7896,3518,200,3,1041,76
4702,5562,200,3,20,76
13270.541,1611.779,200,3,24,75
5440.3193,10768.426,200,3,513,74
6323.912,5329.869,200,3,177,74
4234,4416,200,3,14,74
5292,9152,200,3,4588,73
10062,4644,200,3,848,73
4894,8368,200,3,716,73
5124.126,7963.6704,200,3,384,73
5626,3514,200,3,1195,73
7500,7680,200,3,32,73
9400,5722,200,3,4108,72
13153.469,6403.7275,200,3,35,72
2970.7961,8958.945,200,3,728,71
10690,4604,200,3,222,71
10483.094,5865.498,200,3,64,71
8716,4376,200,3,11,71
4888,10300,200,3,388,70
11564,7128,200,3,522,70
10034,3986,200,3,109,70
8076,5078,200,3,78,70
5316.6826,6219.37,200,3,18,70
3190,9492,200,3,13,70
6971.3853,3122.3794,200,3,500,69
5431.3237,2758.575,200,3,24,69
6138.1367,3907.0469,200,3,18,69
9124.305,6508.333,200,3,35,69
3324,7738,200,3,491,68
7463.838,4156.5176,200,3,15,68
9696.471,3525.224,200,3,23,67
6529.6514,4857.795,200,3,672,66
8532,4892,200,3,1175,66
3782.9795,8707.01,200,3,104,66
8265.615,2923.732,200,3,12,66
3324.9258,4478.4033,200,3,15,65
4748,7164,200,3,532,64
10242,2876,200,3,219,64
8672.975,1712.7146,200,3,38,64
6784,10024,200,3,29,64
6312,10058,200,3,1528,63
4634,2810,200,3,41,63
11476,3434,200,3,18,63
3580.6016,5272.6074,200,3,18,63
9802.679,6523.5864,200,3,574,62
11164,5264,200,3,156,62
6456,6554,200,3,108,62
11686,4688,200,3,50,62
2572,9670,200,3,90,62
11790,5696,200,3,132,61
10120.648,1780.6509,200,3,20,61
2734,4670,200,3,35,61
8226,11766,200,3,27,61
8506,5710,200,3,88,60
8340,6432,200,3,1062,60
6823.125,5608.247,200,3,804,60
2278.5176,4729.281,200,3,69,60
7816,11844,200,3,129,59
3916,3976,200,3,60,59
7272,9054,200,3,16,59
5244,5330,200,3,48,59
4692,4554,200,3,72,59
11894.312,4206.2256,200,3,266,59
6248,10472,200,3,52,58
5623.8926,7856.383,200,3,652,58
9076,4554,200,3,54,58
4522.7764,3207.4717,200,3,54,58
11140,12154,200,3,16,58
10643.449,3015.9846,200,3,2846,57
8200,10326,200,3,516,57
11498,8828,200,3,32,57
7176,6222,200,3,12,57
10048,7968,200,3,600,56
5886,6136,200,3,112,56
2977.8193,6164.087,200,3,87,56
9272,3744,200,3,128,56
6472,8466,200,3,115,56
6048.6367,7525.746,200,3,31,56
6874,6858,200,3,95,56
11778,8016,200,3,18,56
6906,11526,200,3,85,55
7792,830,200,3,90,55
5362,12784,200,3,23,55
9240,1272,200,3,16,54
9823.821,2758.0244,200,3,92,54
4818,7678,200,3,18,54
8775.164,6711.5547,200,3,1002,53
3094,10796,200,3,618,52
12594,6596,200,3,300,52
11084.25,2167.4531,200,3,234,52
2478.365,6657.32,200,3,25,52
4384,11894,200,3,319,51
4078.4336,6458.582,200,3,13,51
12698,5424,200,3,184,51
2075.0293,5577.379,200,3,18,51
12228.34,10060.005,200,3,12,51
6220,8130,200,3,44,51
3056,9972,200,3,48,50
6877.993,8621.15,200,3,917,50
11958,3782,200,3,978,50
7644,2296,200,3,36,50
6434,9408,200,3,11,49
9462,2168,200,3,258,49
7250,7036,200,3,47,49
8852,10734,200,3,16,49
7952,5650,200,3,108,48
8720,6262,200,3,12,48
9335.811,7480.407,200,3,19,48
9358,11408,200,3,828,48
12768.869,6207.5547,200,3,23,48
3424,3510,200,3,40,47
10624.46,3655.7139,200,3,11,47
10434,2222,200,3,18,47
5879.2227,12856.613,200,3,167,46
2212,9862,200,3,236,46
13694,2922,200,3,20,46
9520,4354,200,3,129,45
6523.2373,5995.633,200,3,28,45
2274,13300,200,3,38,44
4458.416,10407.805,200,3,28,44
2888,11274,200,3,439,43
13562,2544,200,3,288,43
12638,4988,200,3,566,42
2202,9462,200,3,30,42
6040,8972,200,3,20,42
2133.2651,7862.855,200,3,21,42
12433.795,8453.542,200,3,13,42
13116,2032,200,3,818,41
8029.501,9301.705,200,3,112,41
2474,1444,200,3,16,41
11996,5228,200,3,56,41
1828,13028,200,3,50,40
2786.858,10407.799,200,3,49,40
798,8124,200,3,58,40
11580,1292,200,3,18,39
4379.25,5900.649,200,3,27,39
10599.762,9214.134,200,3,116,38
7896,7750,200,3,56,38
7881.8457,11282.031,200,3,12,38
4624.2173,12661.586,200,3,60,38
2698,13570,200,3,67,37
12406,1436,200,3,1996,36
7623.2505,6155.6685,200,3,54,35
14090,6870,200,3,32,35
12258,2144,200,3,16,34
9854,12056,200,3,32,34
3580,2986,200,3,11,33
6506,12114,200,3,24,33
3606,9266,200,3,17,33
3308,6808,200,3,21,32
2066,8448,200,3,69,32
5873.8286,2507.7642,200,3,12,31
1332,12434,200,3,54,29
7335.426,12727.241,200,3,18,29
7292,10546,200,3,16,29
11542,1988,200,3,15,26
11778.176,10073.564,200,3,20,25
12010,10640,200,3,12,23
3818.0781,5797.7617,200,3,12,23
8188,8162,200,3,20,22
3004,13062,200,3,25,14
