x,y,team,type,popularity,score
7122,4820,200,1,13,130
5228.498,9987.984,200,1,25,120
8035.7393,4279.6997,200,1,166,108
4712,9100,200,1,12,107
2874.6772,8411.207,200,1,59,102
9033.551,4866.44,200,1,87,98
10240,4928,200,1,465,93
8208,1700,200,1,20,92
4567.6445,10712.578,200,1,13,92
8532,2706,200,1,13,88
5816.324,4262.1035,200,1,27,88
2524.2534,7609.581,200,1,12,85
7550,5202,200,1,57,84
6292.1577,3615.7747,200,1,28,84
5456,10658,200,1,206,83
10914,9944,200,1,16,83
10405.941,3404.663,200,1,50,82
10188,2618,200,1,16,82
9822,4822,200,1,230,81
3010,7338,200,1,77,81
4023.3247,8563.557,200,1,15,81
4026.7524,8074.0596,200,1,102,80
8176.6875,11109.926,200,1,45,80
2828.6406,6306.7373,200,1,16,80
5126.5884,8443.217,200,1,284,79
6332,5316,200,1,106,79
8966,4388,200,1,108,78
5428.967,2607.714,200,1,40,76
5006.1885,10973.342,200,1,30,76
13267.131,1610.5713,200,1,12,75
3126,5936,200,1,34,75
10650,4596,200,1,171,74
5421.373,6308.996,200,1,30,74
9362,5644,200,1,2022,73
5574,3546,200,1,165,73
8222,3490,200,1,244,73
5218,9140,200,1,545,72
5127.438,7969.5356,200,1,203,72
9923.227,1753.2754,200,1,36,72
11164,5264,200,1,114,71
9771.219,3482.3801,200,1,15,71
7006,3078,200,1,242,70
6073.33,12704.98,200,1,18,70
6822,6730,200,1,96,69
2944,9084,200,1,109,69
11524,7176,200,1,558,69
9124.305,6508.333,200,1,35,69
4934.373,6155.332,200,1,24,69
8578,4782,200,1,1644,68
6650,4764,200,1,748,68
7171.916,5407.042,200,1,96,67
6448,6414,200,1,80,67
3840,3402,200,1,15,67
12734.346,5906.5996,200,1,12,67
3334,7782,200,1,666,66
12273.41,6813.212,200,1,17,66
11908,5840,200,1,498,65
9804,2746,200,1,123,65
8526,5460,200,1,36,65
8672.975,1712.7146,200,1,38,64
9754,6418,200,1,506,63
5658,12694,200,1,63,63
5514,5606,200,1,30,63
2668,6752,200,1,54,63
11476,3434,200,1,18,63
7980.5435,4738.042,200,1,90,63
8052,5810,200,1,736,62
2776,4654,200,1,140,62
10579.848,5818.044,200,1,94,62
10002,5476,200,1,18,62
10906,3724,200,1,11,62
4640.7915,2861.51,200,1,50,62
2164,4650,200,1,18,62
5421.456,1907.5789,200,1,20,62
7658,5982,200,1,130,62
6758,8960,200,1,27,62
4946.674,7112.674,200,1,723,61
6819.7163,5610.6973,200,1,1040,60
6524,9376,200,1,22,60
4454,9666,200,1,28,60
6694,11724,200,1,24,60
10273.895,2207.755,200,1,34,60
4522,11606,200,1,146,60
7900,3250,200,1,30,59
5026,4014,200,1,21,59
8286,10220,200,1,393,58
9584,4042,200,1,33,58
1822,11658,200,1,12,57
8146,5200,200,1,41,57
6708,9938,200,1,33,57
10510,3006,200,1,1559,56
9246,3754,200,1,124,56
6308,10166,200,1,225,56
8412,6448,200,1,342,56
7914,806,200,1,35,56
4522,3274,200,1,32,55
11536,4932,200,1,59,54
9132,2152,200,1,159,54
11939.672,4158.9824,200,1,179,54
3032.4749,10109.162,200,1,20,54
7934,11786,200,1,138,54
11736.139,8250.123,200,1,26,54
12080,5206,200,1,22,53
2204,8352,200,1,11,53
8775.829,6712.9883,200,1,1518,52
4230,11920,200,1,97,52
10995.811,9175.338,200,1,67,52
3738.7227,5226.0464,200,1,26,52
9623.996,7359.289,200,1,36,52
11371.906,8907.109,200,1,100,51
5940.589,7666.3486,200,1,97,51
11024.523,2357.7305,200,1,55,51
7216,6910,200,1,52,51
12698,5424,200,1,128,50
7038,11316,200,1,56,50
7806,2200,200,1,18,50
6770,8498,200,1,2808,49
3136,10780,200,1,329,49
11010,4328,200,1,108,49
12054,4766,200,1,12,49
10372.852,1776.2739,200,1,28,49
10182,7940,200,1,150,47
3424,3510,200,1,40,47
7377.388,6360.7705,200,1,69,46
6344,8102,200,1,59,46
7380,7376,200,1,132,45
12014,7376,200,1,54,45
2724.0063,10417.807,200,1,114,45
12788.955,6508.5957,200,1,61,44
12044.83,3766.2292,200,1,976,44
2990,11194,200,1,340,44
9325.601,11507.985,200,1,62,44
2236,9540,200,1,38,44
13088,2038,200,1,401,43
6040,8972,200,1,19,43
13588,2386,200,1,50,43
8029.501,9301.705,200,1,108,42
858,8130,200,1,20,41
2474,1444,200,1,16,41
13570,2830,200,1,387,39
7818,8046,200,1,16,39
2024.1475,7910.8105,200,1,14,39
12654,1356,200,1,46,39
7417.155,2302.8042,200,1,52,38
2186,9940,200,1,87,37
12220,1316,200,1,1011,37
11652,7838,200,1,15,37
2202,13428,200,1,25,37
12688,7444,200,1,22,37
11492,1876,200,1,21,37
10458,9116,200,1,41,36
1764,13090,200,1,30,36
4722.9053,12678.139,200,1,23,36
2330,8910,200,1,12,35
5794,6118,200,1,21,35
7522,8994,200,1,24,35
6506,12114,200,1,20,35
1154,12116,200,1,35,34
3606,9266,200,1,17,33
2642,13524,200,1,83,32
7237.357,12774.41,200,1,36,30
7062,9542,200,1,52,29
8322,8296,200,1,20,28
4836,5420,200,1,16,28
11686,9954,200,1,11,25
5763.994,7203.1836,200,1,12,24
14102,7082,200,1,23,23
3004,13062,200,1,25,14
