x,y,team,type,popularity,score
4744,9952,100,1,36,141
7662.5786,5597.622,100,1,15,128
12732.615,7514.075,100,1,16,118
7920,5910,100,1,14,110
4454,10444,100,1,155,110
7472.2656,5225.993,100,1,18,109
10318,4948,100,1,55,108
11122.998,7805.334,100,1,14,104
5010,10894,100,1,14,102
11478.352,6363.703,100,1,12,100
10788,7458,100,1,20,98
5210,9984,100,1,62,97
8669.588,10807.906,100,1,22,96
11062.828,6207.205,100,1,140,94
8840,5572,100,1,14,94
7140,3180,100,1,74,93
9560.291,4916.0234,100,1,30,93
10426,4368,100,1,38,92
11911.828,6487.963,100,1,306,91
5501.136,11088.003,100,1,42,88
10882,5260,100,1,24,86
4642,9480,100,1,16,85
3642,7392,100,1,14,84
9558,5320,100,1,11,84
6868.789,3701.9443,100,1,12,83
7233.7344,10635.608,100,1,29,83
10107.64,12553.592,100,1,13,82
11436,7194,100,1,191,81
7090,10054,100,1,40,81
10733.765,9222.751,100,1,16,80
8323.942,10432.2,100,1,186,79
6623.987,3158.443,100,1,32,79
8473.896,9607.738,100,1,49,79
5188,9180,100,1,1242,78
5128.0874,8434.032,100,1,1312,77
6894,11412,100,1,266,77
9624,9662,100,1,26,77
4379.3506,8207.146,100,1,20,77
7840,4792,100,1,21,76
10824.914,4407.998,100,1,48,75
11968,9556,100,1,22,75
12061.961,8305.547,100,1,16,74
6919.7344,9657.285,100,1,90,74
9124,11386,100,1,60,73
9330,4518,100,1,378,73
9674.209,6908.7705,100,1,311,72
11846,7282,100,1,94,72
10708,10678,100,1,56,71
8342,3576,100,1,44,71
11858,5862,100,1,2465,70
3336,7740,100,1,382,70
8102,8122,100,1,50,70
10890,11344,100,1,75,70
5952.7813,9842.227,100,1,49,69
6964,8816,100,1,180,67
11054,4798,100,1,215,67
10358,10398,100,1,22,67
4399.181,8988.273,100,1,28,67
9334,5702,100,1,1702,66
6380,12750,100,1,32,66
7886,11834,100,1,204,65
3494,6018,100,1,18,65
3572,9716,100,1,23,65
11940.048,4164.69,100,1,124,65
6822.7456,10657.377,100,1,69,64
10713.807,6909.5234,100,1,46,64
13518,6242,100,1,14,64
8486,4860,100,1,606,63
6334,10084,100,1,766,63
7414,9790,100,1,174,63
7526,8334,100,1,33,63
10337.172,9592.102,100,1,32,63
9946,6546,100,1,442,62
8888,8832,100,1,128,62
9420,2178,100,1,59,62
13151.992,5955.8794,100,1,11,62
2984,9158,100,1,55,61
4704,7114,100,1,447,61
9556,4056,100,1,400,60
12250,7550,100,1,144,60
7906,3454,100,1,304,60
4636,11926,100,1,65,60
10226,12036,100,1,30,60
4082,9374,100,1,60,60
8726,6660,100,1,128,59
8570,8236,100,1,21,59
10767.816,8408.059,100,1,20,59
5998,5438,100,1,16,59
9408.195,12259.402,100,1,18,59
7634,7252,100,1,14,58
12550,11164,100,1,75,58
12252,5190,100,1,96,58
11364.727,9599.481,100,1,156,57
11420.775,3051.5156,100,1,88,57
4508,11534,100,1,46,57
9928.357,8407.432,100,1,14,57
6478,4714,100,1,416,56
8952.4375,2089.2988,100,1,298,56
13932,6056,100,1,49,56
8226,6186,100,1,2805,55
6298,9224,100,1,171,55
8020.752,9308.527,100,1,170,55
12164,10272,100,1,136,55
10468,3058,100,1,410,54
5456,3344,100,1,122,54
11623.881,5157.751,100,1,286,54
11228,8346,100,1,40,54
11469.764,10507.771,100,1,44,54
9932.576,3840.5024,100,1,122,53
12008,8708,100,1,78,53
9851.477,7958.8027,100,1,280,52
12632,4836,100,1,201,52
9594,8796,100,1,81,52
9056.016,7141.5547,100,1,642,51
2224,9600,100,1,81,51
10104,7222,100,1,18,51
10796,9896,100,1,42,51
3309.6355,10207.186,100,1,44,51
7040,7162,100,1,32,50
9428.16,7415.4673,100,1,12,50
12076,4750,100,1,231,49
11296,5502,100,1,54,49
10422.169,2193.7112,100,1,20,49
12580.832,10245.907,100,1,14,49
12777.1455,6355.471,100,1,24,49
11884,3712,100,1,618,48
6716,8414,100,1,278,48
4176,11872,100,1,249,47
5813.791,10557.229,100,1,390,47
13032,2054,100,1,173,47
8831.527,10353.215,100,1,16,47
7854,7800,100,1,188,46
7375.6523,12658.758,100,1,33,46
4624.099,12657.174,100,1,11,46
6523.911,11997.213,100,1,90,46
4895.8584,6413.171,100,1,11,46
12662,5252,100,1,128,45
5888.8213,12860.223,100,1,198,45
5474,12644,100,1,300,44
7352.748,2337.37,100,1,20,44
6178,13206,100,1,12,44
3148,10828,100,1,240,43
13450,2558,100,1,1164,42
1650,12796,100,1,54,42
2856,11290,100,1,302,41
11284,4222,100,1,23,41
6826,6304,100,1,18,41
6418,8134,100,1,240,40
12218,1404,100,1,412,40
4073.1648,5786.4243,100,1,86,40
6480,11322,100,1,26,40
9921.578,2354.0566,100,1,33,40
12964,3476,100,1,45,39
4970,2874,100,1,13,39
8912,6148,100,1,17,39
2202.694,10105.404,100,1,90,39
11760.132,11800.124,100,1,26,39
12810.338,6960.369,100,1,20,39
7726.7627,2056.8916,100,1,14,39
7273.9336,5905.492,100,1,12,38
6806.6353,5608.737,100,1,75,37
10330,8838,100,1,54,35
7196,14052,100,1,19,35
3058,6644,100,1,11,33
4682,7748,100,1,12,32
1184,12218,100,1,85,31
12726.371,5957.5586,100,1,13,31
14088,6870,100,1,141,29
2054.8943,8352.162,100,1,41,28
6502,6652,100,1,25,27
2270,13400,100,1,69,24
2594,13658,100,1,56,24
7774,840,100,1,15,22
13268,10280,100,1,64,21
1342,8914,100,1,16,17
2421.1614,11643.722,100,1,16,14
5123.8174,13158.881,100,1,12,4
