x,y,team,type,popularity,score
5232,9176,100,1,2560,206
8114,6178,100,1,2316,170
4744,9980,100,1,124,146
9782,9188,100,1,20,134
12634.963,4850.0674,100,1,1568,130
9662,6298,100,1,1137,128
7377.015,10755.267,100,1,22,126
11600,7136,100,1,1035,125
4068,10422,100,1,95,125
5202,10054,100,1,324,123
6186,8096,100,1,1305,120
9368,5660,100,1,1004,117
11919.996,6488.151,100,1,588,117
8284,10144,100,1,817,114
4498,10530,100,1,36,112
10494.395,4283.0645,100,1,52,107
6334,10084,100,1,862,106
7670.6045,5603.3223,100,1,54,103
5133.6055,10982.334,100,1,21,103
10362,4816,100,1,206,102
10780,7464,100,1,20,99
7312,7750,100,1,12,98
5658.7095,10947.19,100,1,456,97
13418,2488,100,1,1138,97
10910.175,8144.0605,100,1,54,97
11986,2702,100,1,12,97
8611.634,10769.851,100,1,33,97
11786,5902,100,1,505,96
4993.297,8339.516,100,1,339,95
11954,7422,100,1,360,94
6972.392,3648.5103,100,1,12,92
11920,3738,100,1,857,91
10856,6640,100,1,40,90
9982,7900,100,1,605,89
7242,10016,100,1,57,89
11100.088,6098.1,100,1,77,88
12140,9338,100,1,12,87
6896,11414,100,1,183,86
11080,5648,100,1,25,86
9958,6598,100,1,458,85
10370,3046,100,1,653,85
11575.547,9533.926,100,1,27,85
3104,7180,100,1,19,84
9305.19,6984.804,100,1,461,83
11118,4604,100,1,177,83
8456,9742,100,1,98,83
12128,7960,100,1,66,83
8968.082,7203.032,100,1,720,83
8018,3500,100,1,470,82
6554,4672,100,1,493,81
8484,4872,100,1,348,81
10523.031,9159.076,100,1,60,81
8560,5734,100,1,53,81
9412,11552,100,1,101,80
6606,8290,100,1,654,80
7834,4828,100,1,25,79
7866,11806,100,1,235,79
9413.83,4762.188,100,1,101,79
6582.471,9040.779,100,1,190,78
3410,7762,100,1,206,78
11856,4802,100,1,543,77
7765.875,10556.836,100,1,18,77
8210,8068,100,1,148,77
2916,11300,100,1,708,76
10248,10314,100,1,50,75
11474,7660,100,1,52,75
6944,9734,100,1,74,74
7023.8394,8757.771,100,1,223,74
4396,9670,100,1,54,74
9116,8922,100,1,70,74
12317.742,6207.956,100,1,19,74
10970.987,11208.397,100,1,45,74
4386,11802,100,1,453,72
2788,7426,100,1,21,72
7976.756,9285.043,100,1,265,71
4268.3486,9102.133,100,1,53,71
7528.46,9648.74,100,1,90,71
13460,3272,100,1,19,71
6814.961,10650.419,100,1,190,70
9410,4248,100,1,238,70
4422,8038,100,1,30,70
9270.078,13100.605,100,1,28,70
6806,3094,100,1,116,69
13151.992,5955.8794,100,1,16,69
6258,9510,100,1,36,68
9888,4888,100,1,36,68
9400,9416,100,1,117,67
5474,12644,100,1,396,67
8686,8492,100,1,156,66
3369.6892,6105.712,100,1,54,66
11634,5332,100,1,114,65
9975.981,3892.1216,100,1,191,65
4758,7166,100,1,179,65
8240,8558,100,1,45,65
5806.599,10304.955,100,1,77,64
