x,y,team,type,popularity,score
6532,4670,200,1,454,134
5485.01,10557.564,200,1,111,132
8200,3528,200,1,48,129
7628,5028,200,1,23,128
9420,5716,200,1,582,125
3520.7344,7422.122,200,1,19,124
7066.243,3157.1074,200,1,99,122
4930,8392,200,1,194,120
7894,6026,200,1,121,115
11088.848,2175.3262,200,1,48,115
3028,9006,200,1,114,114
9820,6432,200,1,450,109
6920.9336,5626.1875,200,1,137,107
8504,4908,200,1,338,105
11506,7136,200,1,154,105
9310,2128,200,1,122,96
4828,7050,200,1,101,96
10594,3062,200,1,1286,90
11834,4056,200,1,195,89
7872,792,200,1,23,86
2897.417,4657.862,200,1,19,86
6302,10118,200,1,165,85
12689.101,6621.505,200,1,29,85
8262,10216,200,1,337,83
9308,11434,200,1,35,83
6578,11384,200,1,28,78
7030,6964,200,1,50,77
8685.867,6766.8086,200,1,206,76
5784.3438,7766.6577,200,1,91,76
4420,11788,200,1,96,74
5876.967,12856.746,200,1,121,68
6488,8292,200,1,111,66
9865.219,7956.937,200,1,32,65
2998,11180,200,1,121,63
13472,2676,200,1,265,61
12246,1370,200,1,203,61
8026.1934,9284.006,200,1,53,61
2176,10042,200,1,71,56
2624,13558,200,1,63,46
1202,12178,200,1,23,40
