x,y,team,type,popularity,score
11850,3942,100,1,2974,201
8112,6186,100,1,2322,171
4714,10366,100,1,24,171
6216,10084,100,1,2045,166
11580,7102,100,1,1720,160
6566,4714,100,1,1964,155
7821.9136,9286.332,100,1,1715,143
5310,9084,100,1,1270,140
4592,9956,100,1,408,140
7377.015,10755.267,100,1,22,126
3789.4849,8406.654,100,1,12,124
9432,5692,100,1,1005,117
10254,2872,100,1,1287,116
8318,10262,100,1,826,115
5242.5713,10005.034,100,1,69,112
9866,6478,100,1,760,105
7724,11700,100,1,765,105
11122.998,7805.334,100,1,14,104
9702,9400,100,1,50,103
10573.004,4607.4336,100,1,52,102
11681.066,6501.957,100,1,131,100
8632,6616,100,1,1038,100
10882,5260,100,1,41,98
5048,8518,100,1,422,98
7312,7750,100,1,12,98
11760,5868,100,1,504,96
9773.595,6904.9097,100,1,462,95
8654.538,11061.389,100,1,24,95
10774,7562,100,1,12,95
8154,11758,100,1,608,94
12053.461,7908.3154,100,1,66,93
10412,4988,100,1,102,93
4038.1567,10464.928,100,1,24,93
6708,9008,100,1,462,92
5672.5723,10955.018,100,1,336,91
11001.4,6557.823,100,1,177,91
9349.918,4668.4766,100,1,346,90
9458,4196,100,1,684,90
4110,9880,100,1,12,89
9322.656,6998.55,100,1,505,88
9960,7800,100,1,560,88
12068.468,8409.041,100,1,48,88
12886,1802,100,1,836,87
6873.0234,3706.2424,100,1,14,87
10622.555,9804.884,100,1,25,87
7114,3042,100,1,112,86
12380,2946,100,1,12,86
12620,4864,100,1,672,85
7032,11386,100,1,153,83
12273.301,7235.5313,100,1,46,83
10108.346,12562.857,100,1,26,83
9430.617,2206.5605,100,1,400,82
6630,10032,100,1,264,82
9300.434,11628.656,100,1,180,82
7798,5424,100,1,50,82
7096,10052,100,1,104,82
11519.379,9545.578,100,1,26,82
11748,7604,100,1,156,81
2850,7232,100,1,20,81
8434,9628,100,1,49,81
11248.254,8243.29,100,1,111,80
2973.9043,4951.927,100,1,12,80
13524,2808,100,1,746,78
8314,4786,100,1,212,78
8644,5618,100,1,42,77
6261.8584,8044.8564,100,1,472,76
3478,7688,100,1,186,76
7416,9752,100,1,282,76
7818,4800,100,1,28,76
10230.552,4046.2886,100,1,258,76
6923.9766,10608.98,100,1,327,75
6900.99,9608.914,100,1,63,75
7860,3556,100,1,306,74
9873.385,4908.956,100,1,62,74
12371.9375,6107.508,100,1,19,74
10970.987,11208.397,100,1,45,74
10717.561,6903.4766,100,1,62,73
10302,10244,100,1,93,73
8342,3588,100,1,47,73
8999.111,2051.4302,100,1,344,72
11171.404,5911.1904,100,1,47,71
8868,8726,100,1,89,71
4454.445,7995.993,100,1,24,70
8257.863,5359.2383,100,1,72,69
11134,4224,100,1,61,69
4346,9372,100,1,60,69
13558,2358,100,1,555,69
4924,12156,100,1,42,69
5823.729,10257.791,100,1,63,68
12286,5196,100,1,286,68
4244,11810,100,1,386,67
4830,7104,100,1,201,67
12074.867,4552.7256,100,1,362,67
5852,12716,100,1,378,66
10000,9974,100,1,25,65
3351.8862,6083.663,100,1,27,65
5624.4766,3497.8691,100,1,139,65
3604,9780,100,1,72,65
2852,9050,100,1,121,65
6624.4595,12156.998,100,1,15,65
13177.465,6307.324,100,1,23,64
8696,3778,100,1,20,64
7234,7312,100,1,39,64
6410,9302,100,1,120,63
7950,8024,100,1,91,63
11622.088,5157.4014,100,1,202,62
10152,12162,100,1,31,62
