x,y,team,type,popularity,score
7819.551,3657.0496,200,1,39,170
9565.451,4908.5107,200,1,27,160
3406,7748,200,1,90,143
5454,3456,200,1,66,136
6542,4736,200,1,948,132
7195.6494,5507.858,200,1,37,130
8194,5618,200,1,43,125
9416,5716,200,1,577,124
3068,8970,200,1,122,123
3987.404,6617.6445,200,1,18,120
6858,3110,200,1,130,118
4804,7232,200,1,104,116
5258,9210,200,1,310,113
5276.079,7962.9473,200,1,171,113
4642.3457,2810.4219,200,1,28,113
11608,7114,200,1,132,112
2828,4682,200,1,18,111
11528,4916,200,1,25,109
8512,4850,200,1,649,108
8374,10314,200,1,33,105
9866,6502,200,1,216,101
11373.356,8956.424,200,1,23,100
9166,2192,200,1,48,94
11975.273,5658.3516,200,1,33,94
7758,11804,200,1,54,90
8482,6420,200,1,92,88
9145.209,4002.4995,200,1,68,87
12674,5236,200,1,26,85
11842,4026,200,1,232,84
9196,11388,200,1,40,84
10026,7780,200,1,124,83
11027.474,2407.8064,200,1,40,83
7850,820,200,1,27,83
13020,1900,200,1,111,63
2910,11188,200,1,192,62
12198,1354,200,1,220,61
10612.75,9214.428,200,1,62,55
13560,2772,200,1,344,54
2162,9968,200,1,65,49
14086,7054,200,1,19,49
