x,y,team,type,popularity,score
7860,3542,200,3,200,161
2891.9834,8414.162,200,3,30,141
5110,8506,200,3,250,134
9950,4032,200,3,33,131
9502,5638,200,3,1032,129
11758,5858,200,3,139,129
6877.0547,3174.7673,200,3,125,126
10273,3268.731,200,3,44,123
6604,4802,200,3,332,119
5512,3400,200,3,123,119
8512,4874,200,3,835,116
6813.9575,5620.787,200,3,139,115
9816,6478,200,3,368,109
5366,10490,200,3,50,109
8540,5682,200,3,30,109
4836,7084,200,3,217,108
9390,2190,200,3,174,107
5596,7850,200,3,80,103
7808,6016,200,3,204,97
11854,3672,200,3,394,90
8304,10198,200,3,493,85
12604,5364,200,3,96,83
9344,11470,200,3,55,83
12627.684,6660.9297,200,3,30,79
4538,11914,200,3,171,78
6866,11438,200,3,60,77
5879.9893,12855.424,200,3,147,69
2910,11254,200,3,385,68
9853.441,8006.6113,200,3,42,67
6322,8202,200,3,50,65
8032.7915,9303.997,200,3,55,64
13128,2042,200,3,207,62
2224,9662,200,3,46,61
2787.1978,10429.545,200,3,26,59
13628,2782,200,3,128,58
2516,13534,200,3,43,58
12226,1294,200,3,239,55
10623.381,9214.982,200,3,64,54
1816,12970,200,3,27,48
1184,12110,200,3,31,37
