x,y,team,type,popularity,score
7854,3572,200,3,98,177
6423.4404,5306.13,200,3,11,160
5046,10042,200,3,16,145
5481.3027,7913.96,200,3,58,138
5260,9122,200,3,465,131
5518,3440,200,3,82,130
5289.323,10854.893,200,3,41,129
9450,5710,200,3,660,128
3392,7684,200,3,59,128
7816,4954,200,3,15,123
10152,4764,200,3,70,122
4632,2802,200,3,15,121
11532,7114,200,3,181,119
6922,3052,200,3,61,116
6946,6888,200,3,19,113
11078.125,2160.3179,200,3,24,107
4796,7166,200,3,192,104
9134,2122,200,3,61,103
8616,4648,200,3,91,100
7058,11344,200,3,26,99
6314,10176,200,3,138,98
11764,4000,200,3,481,97
8404,6426,200,3,136,97
11872.195,5957.0884,200,3,140,96
8000,11844,200,3,27,89
9952,7814,200,3,109,87
9433.107,3674.7383,200,3,12,86
12792.355,6509.2314,200,3,19,82
6834,8506,200,3,203,81
12444,5168,200,3,38,76
7836,840,200,3,22,76
4472,11790,200,3,100,75
8225.672,10100.5,200,3,40,74
2908,11348,200,3,124,62
8022.484,9310.952,200,3,27,60
2224,10014,200,3,44,57
12226,1324,200,3,136,56
13626,2622,200,3,27,56
9332,11596,200,3,11,53
14136,7018,200,3,13,52
