x,y,team,type,popularity,score
5246.744,9992.082,100,1,34,178
10860,8220,100,1,22,170
7362,9826,100,1,21,148
11057.637,6160.418,100,1,56,147
8300,10186,100,1,498,134
11528,7132,100,1,160,131
7954,11840,100,1,53,126
7068,3078,100,1,83,124
9396,5664,100,1,1570,119
6842,11412,100,1,32,115
11937.253,5912.9634,100,1,42,114
8046,3362,100,1,35,112
5092,8478,100,1,224,110
9406,11422,100,1,37,107
11656.788,5092.4233,100,1,80,106
3328,7714,100,1,119,104
9514,4090,100,1,49,104
6590,4524,100,1,29,100
11158.248,3252.15,100,1,22,99
9978,6596,100,1,265,97
2904.7554,9017.032,100,1,51,95
5498,3414,100,1,54,93
10042,7758,100,1,228,92
6208,10340,100,1,52,91
8574,4802,100,1,218,89
9002,2022,100,1,112,88
11766,4050,100,1,670,85
7832,7626,100,1,51,78
6710,8414,100,1,56,77
8184,6384,100,1,116,74
5930,12722,100,1,32,73
4224,11898,100,1,138,71
10390,2968,100,1,197,70
13574,2748,100,1,194,68
12576,4886,100,1,112,66
12870,1840,100,1,510,65
2898,11124,100,1,73,65
3819.3474,5796.8994,100,1,24,55
2228,9896,100,1,48,52
1182,12068,100,1,67,32
