x,y,team,type,popularity,score
11908,3822,100,1,6325,367
8246,10144,100,1,4080,278
9374,5626,100,1,3015,217
11790,5886,100,1,2036,173
2896,11274,100,1,2166,149
9754,6400,100,1,1150,127
11968,6538,100,1,756,122
11552,6462,100,1,184,118
7609.0537,5645.703,100,1,63,117
5124.4434,10004.404,100,1,170,115
8150,6160,100,1,1166,113
4568,10292,100,1,92,113
10428,4316,100,1,60,112
10056,7716,100,1,964,110
9663.225,6883.869,100,1,732,110
5228,9192,100,1,640,110
12732.615,7514.075,100,1,20,108
10214,5026,100,1,96,107
4060,9756,100,1,13,103
13532,2706,100,1,1124,98
8612.637,11152.238,100,1,24,95
4938,8390,100,1,333,94
12053.461,7908.3154,100,1,66,93
7073.845,10609.872,100,1,480,92
11188,4560,100,1,192,91
6998,3118,100,1,294,88
5457.339,11143.912,100,1,147,88
8490,9616,100,1,196,88
8840,5572,100,1,48,88
11004.969,6456.4395,100,1,63,87
12061.689,8414.921,100,1,24,87
10622.555,9804.884,100,1,25,87
11666.674,7264.6206,100,1,279,86
2758,7454,100,1,24,86
12068,9544,100,1,28,86
6294,10102,100,1,442,85
11662,9634,100,1,45,85
11225.24,6007.9824,100,1,74,84
9012,8866,100,1,182,83
7006,11290,100,1,152,83
9504,9476,100,1,31,83
10106,12610,100,1,26,83
8486,4850,100,1,369,82
12064,7440,100,1,178,82
9318,11422,100,1,134,82
6984,9606,100,1,61,82
9318,4516,100,1,220,81
8544,6644,100,1,597,81
5721.0986,10804.129,100,1,220,81
6980,10034,100,1,52,80
11030,5616,100,1,20,80
3080,10872,100,1,662,79
7900,11758,100,1,249,79
9170.18,7054.9297,100,1,432,78
3414,7696,100,1,204,78
10256,2934,100,1,525,78
13198,6160,100,1,60,78
8330,5502,100,1,64,77
6258.122,8045.4736,100,1,469,77
6690,4782,100,1,405,77
10734,4988,100,1,198,76
7818,4800,100,1,28,76
5810.018,10302.537,100,1,308,76
10767.816,8408.059,100,1,23,75
9725.275,4912.433,100,1,144,75
10192.334,3984.1748,100,1,280,75
6786,8942,100,1,242,75
11474,7660,100,1,52,75
11950,10236,100,1,400,74
10460,10204,100,1,46,74
12317.742,6207.956,100,1,19,74
10970.987,11208.397,100,1,45,74
12960,2904,100,1,22,73
7725.12,9301.104,100,1,275,73
9474,9910,100,1,28,73
3208,6308,100,1,24,72
7944,3422,100,1,214,71
4018.766,9303.781,100,1,44,71
6669.0186,3807.232,100,1,40,70
12938,1960,100,1,480,70
3013.4893,8908.08,100,1,290,70
4422,8038,100,1,30,70
6058,9740,100,1,45,70
10155.752,12202.545,100,1,35,69
4782,7052,100,1,214,69
11858,8766,100,1,57,69
3586,9712,100,1,30,69
12085.002,5317.701,100,1,22,68
3494,6018,100,1,19,68
7910,4088,100,1,18,68
12522.828,7157.1836,100,1,36,67
2468,8946,100,1,14,67
4818,12236,100,1,14,67
10128,9968,100,1,58,66
3309.6064,10133.975,100,1,15,66
10116,6970,100,1,60,65
3420.2842,8506.564,100,1,12,65
9408.195,12259.402,100,1,20,65
11718,5018,100,1,247,64
6762,8492,100,1,320,64
12473.428,10249.389,100,1,38,64
9609.547,4010.1333,100,1,172,63
6661.753,10554.349,100,1,58,63
8418,8270,100,1,67,63
9314,2096,100,1,125,62
4155.112,11810.585,100,1,299,62
13804,12068,100,1,15,62
13336,5618,100,1,55,61
6780,12942,100,1,16,61
7626,9892,100,1,50,60
2368,9584,100,1,190,60
5748,3532,100,1,87,59
12184,1276,100,1,412,59
12065.992,4541.0234,100,1,180,59
10058.627,8615.862,100,1,30,59
3188,6808,100,1,16,59
10708,10678,100,1,100,59
11884,11812,100,1,16,59
11224.25,9633.523,100,1,59,58
12606,5168,100,1,242,58
2640,4932,100,1,12,58
13932,6056,100,1,49,58
13372,3288,100,1,48,58
6248,9146,100,1,65,57
10276.348,9555.1,100,1,18,57
5680,12820,100,1,140,56
10727.354,7158.278,100,1,26,56
11456.918,10496.509,100,1,44,56
14118,7228,100,1,14,56
8569.389,2102.5208,100,1,90,56
12566,5818,100,1,30,56
5322.574,7499.2783,100,1,14,56
7910,7608,100,1,217,54
9039.568,10696.762,100,1,32,54
12964,3476,100,1,51,54
11220.686,3197.6782,100,1,50,53
7488,7402,100,1,122,53
7652,7954,100,1,192,51
7190,8596,100,1,100,51
7498.5,12574.779,100,1,46,51
6468,12010,100,1,93,51
11692,11150,100,1,48,50
4994,2958,100,1,27,50
3640,11170,100,1,20,50
5812,1278,100,1,18,50
7079.496,5625.007,100,1,17,48
8827.352,10350.082,100,1,32,48
10422.169,2193.7112,100,1,47,47
11468.589,11851.147,100,1,35,47
2176,9990,100,1,166,46
12504,11362,100,1,44,46
4895.8584,6413.171,100,1,11,46
6530,11388,100,1,116,45
9568,2420,100,1,22,45
12775.609,6357.421,100,1,74,45
7317.168,2402.1553,100,1,20,45
898,7988,100,1,36,44
8840,6124,100,1,119,44
12475.294,6732.1055,100,1,39,44
12924.119,6906.33,100,1,22,44
6172.796,13193.627,100,1,13,43
1630,12870,100,1,42,42
6014,2530,100,1,22,42
6052.7793,3145.3857,100,1,14,42
4448,12670,100,1,12,42
4124.1567,5805.9536,100,1,54,41
11266,4104,100,1,87,40
6724.1025,2507.2817,100,1,30,40
7788,2034,100,1,28,40
13376,1614,100,1,33,39
6346,10998,100,1,27,39
14082,6796,100,1,188,38
7176,14122,100,1,21,37
10402,8956,100,1,31,36
2013.4312,8758.398,100,1,12,36
13053.451,4755.3975,100,1,13,35
6972,6952,100,1,29,35
5858.2905,2009.8486,100,1,12,35
6804,6214,100,1,16,35
1190,12116,100,1,90,34
3978,13084,100,1,12,32
8750,13362,100,1,12,29
2054.8943,8352.162,100,1,49,28
6390,6566,100,1,27,28
2554,13516,100,1,73,26
4772.6953,13147.8125,100,1,18,26
10836,1702,100,1,12,25
7062,13576,100,1,15,25
7754,856,100,1,15,22
3096,13110,100,1,16,21
1342,8914,100,1,16,17
6182.7383,5635.871,100,1,12,16
2421.1614,11643.722,100,1,16,14
