x,y,team,type,popularity,score
3288,7072,200,3,15,185
10742,5046,200,3,40,133
10284,5150,200,3,16,128
2888.3481,8414.705,200,3,42,114
10472,4334,200,3,90,113
11992,9368,200,3,13,109
4980,9616,200,3,44,103
4734,10356,200,3,43,95
8820.008,5076.8955,200,3,30,93
8208,1700,200,3,20,92
5298,8504,200,3,105,92
11222,4106,200,3,16,91
3238,3856,200,3,70,90
2728,7272,200,3,160,89
9090,11218,200,3,14,88
5810,3568,200,3,47,88
5448,10554,200,3,282,87
4654,4872,200,3,84,87
4482.1797,11446.883,200,3,21,86
9962,4736,200,3,750,84
5378,5788,200,3,26,83
10914,9944,200,3,16,83
1348.8438,13290.332,200,3,28,82
10929.143,2561.5188,200,3,17,82
5812,5870,200,3,60,81
5242.7285,10924.869,200,3,535,81
3210,4376,200,3,11,81
8174.9478,11108.364,200,3,15,80
6488,6436,200,3,32,79
5480,3334,200,3,165,77
6740,6782,200,3,45,77
5048,10098,200,3,91,76
3502,3094,200,3,84,76
5431.138,2558.679,200,3,40,76
3046,8938,200,3,413,75
8196.795,4353.4683,200,3,100,75
13270.541,1611.779,200,3,24,75
6538,9538,200,3,27,75
5200,9068,200,3,1060,74
3780,10126,200,3,13,74
9358,5712,200,3,1925,73
10766,4626,200,3,420,73
3516,7426,200,3,44,73
10414.461,3457.187,200,3,42,73
4878,8330,200,3,644,72
11622,7124,200,3,856,71
7436,4990,200,3,87,71
6582,4630,200,3,1183,70
5473.9453,7908.4873,200,3,152,70
3292,7778,200,3,906,69
7126,3070,200,3,576,69
9022.967,4357.5605,200,3,90,68
5808.5615,10256.996,200,3,52,68
11426,5032,200,3,198,68
7888,4818,200,3,82,68
3784,8708,200,3,52,66
7193.7134,5401.2646,200,3,291,66
8112,3346,200,3,115,66
12273.828,6811.1284,200,3,68,66
7984,5332,200,3,60,65
10598,5742,200,3,318,65
9675.911,2822.3643,200,3,26,65
6331.1406,3565.1748,200,3,45,65
6404,11256,200,3,16,65
4770,7098,200,3,593,64
8106,5840,200,3,341,64
10133.93,3936.7012,200,3,77,64
8672.975,1712.7146,200,3,38,64
2332,8334,200,3,33,64
11872,1272,200,3,12,64
5176,5128,200,3,14,64
7448,7530,200,3,23,64
8292,4804,200,3,119,63
6734,3182,200,3,339,63
11896,5848,200,3,2276,63
8574.424,2928.3726,200,3,34,63
7712,11702,200,3,71,62
2638,6732,200,3,16,62
7762,6048,200,3,144,61
2021.4832,8760.648,200,3,14,61
9900,6478,200,3,2092,61
6310,10134,200,3,852,61
8532,5656,200,3,324,61
6114,6294,200,3,64,61
3946,3458,200,3,14,61
8440,6396,200,3,524,60
11726,3998,200,3,1137,60
11774,4588,200,3,38,60
4730,5416,200,3,16,60
8128,11908,200,3,35,60
3834,3882,200,3,33,60
10300,2942,200,3,1569,59
6825.521,5557.8584,200,3,248,59
2366,7634,200,3,48,59
10020,1770,200,3,39,59
5026,4014,200,3,21,59
8250,10200,200,3,659,58
9235.784,3852.4924,200,3,286,58
7860,852,200,3,42,58
11444,8708,200,3,60,58
11140,12154,200,3,16,58
9922.97,7807.621,200,3,1605,57
5446,12608,200,3,174,57
1822,11658,200,3,12,57
10663.602,3137.1826,200,3,1209,57
6824,11454,200,3,121,56
9364.486,4606.4043,200,3,38,56
2977.8193,6164.087,200,3,87,56
9760,7316,200,3,34,56
7152,6954,200,3,103,54
2079.7412,5574.5234,200,3,36,54
11706,8252,200,3,13,54
8776.608,6720.2974,200,3,992,53
3976.7583,6611.037,200,3,26,53
10468,2252,200,3,42,53
5919.5483,7677.8066,200,3,204,53
11088.833,2164.2874,200,3,75,53
912,10602,200,3,12,53
13590,2350,200,3,19,53
4522,3274,200,3,38,52
11950,7596,200,3,18,52
3812,6174,200,3,24,52
2874,4668,200,3,99,52
4706.428,10875.463,200,3,78,52
4514,11864,200,3,386,51
9302.848,11557.433,200,3,61,51
4578,6148,200,3,19,51
3873.253,5164.367,200,3,33,51
12064,5270,200,3,12,51
3092,11038,200,3,425,50
9424,2122,200,3,930,50
6786,8574,200,3,2280,50
3168,9768,200,3,72,50
12692,5482,200,3,441,49
3916,7976,200,3,245,48
7204,6410,200,3,42,48
2330,4720,200,3,33,48
9085.701,7668.2617,200,3,12,48
7515.213,2199.7813,200,3,60,47
8812,6110,200,3,24,47
12785.937,6103.502,200,3,60,47
5932.2056,12811.495,200,3,162,46
11176.79,9071.405,200,3,61,46
2364,9600,200,3,122,46
7443.4023,9070.068,200,3,26,45
11370,5444,200,3,42,45
