x,y,team,type,popularity,score
7774.791,9302.742,100,2,18,123
5173.825,10007.051,100,2,20,106
11768,5796,100,2,54,80
5292.778,10502.678,100,2,13,78
5950,10640,100,2,24,76
11568,7098,100,2,648,69
6622,9992,100,2,12,69
9344,5716,100,2,79,64
7925.4883,11744.103,100,2,22,62
8060,3414,100,2,31,61
10520.465,3665.8906,100,2,16,60
4982,8350,100,2,23,59
13432,2600,100,2,33,57
4402,11710,100,2,31,56
8234,10272,100,2,101,54
6281.8784,10204.272,100,2,351,54
9888,6528,100,2,176,54
7036,11436,100,2,124,53
10004,7790,100,2,636,52
7040,10676,100,2,18,50
5234,9328,100,2,25,50
8798,8782,100,2,40,50
3080,10814,100,2,155,49
8376,6430,100,2,134,48
4754,7082,100,2,56,47
3376,7720,100,2,69,47
7060,3086,100,2,32,47
5708,12680,100,2,16,46
4766,10290,100,2,36,46
12522,5144,100,2,48,45
6610,4726,100,2,140,44
14046,7080,100,2,54,43
9210,11414,100,2,66,42
3218,8988,100,2,12,42
10558,3014,100,2,16,41
9534,4276,100,2,22,41
11794,3912,100,2,183,40
9971.291,4737.873,100,2,33,39
6496,12206,100,2,12,38
9284,2164,100,2,28,37
4000,7960,100,2,25,37
6374,9590,100,2,12,35
6682,8196,100,2,15,34
12290,8568,100,2,14,33
10719.071,9850.759,100,2,25,32
12020,4850,100,2,49,31
8262,4754,100,2,21,30
