x,y,team,type,popularity,score
7850,3584,200,3,170,171
3384,7736,200,3,186,137
10090,3932,200,3,29,136
5223.7827,10906.249,200,3,70,134
9452,5694,200,3,1398,131
5182,9110,200,3,498,126
5074.1743,7968.8823,200,3,60,125
8436,4830,200,3,319,121
5558,3486,200,3,135,119
7096,5622,200,3,114,118
4830,10206,200,3,74,114
4924.917,7108.0796,200,3,155,112
6752,3176,200,3,121,112
11882,5856,200,3,235,111
9815.726,6516.4336,200,3,362,108
7852,5976,200,3,150,106
6348,10124,200,3,280,101
11820,4018,200,3,838,95
10378,2960,200,3,275,94
10088,8034,200,3,74,94
9216,2146,200,3,135,90
9346,11408,200,3,49,88
8368,10190,200,3,152,86
8773.676,6705.2285,200,3,744,84
12674.9375,5458.284,200,3,129,83
6852,8588,200,3,1768,81
11044.725,2308.3926,200,3,42,81
6666,11488,200,3,33,81
5939.9053,7670.072,200,3,84,80
5985.055,12769.724,200,3,93,75
7786,878,200,3,24,75
2988,11026,200,3,187,72
4468,11958,200,3,69,72
12781.666,6508.092,200,3,46,72
2174,10006,200,3,93,61
13030,1998,200,3,310,60
13628,2782,200,3,128,58
12174,1284,200,3,187,55
10624.803,9207.564,200,3,66,53
2584,13582,200,3,55,44
