x,y,team,type,popularity,score
5218,9112,200,0,1596,154
9450,5554,200,0,1032,124
11920,3784,200,0,1156,117
5224,9988,200,0,20,110
6598,4632,200,0,570,105
3066,9102,200,0,392,104
8238,6412,200,0,540,93
3327.6558,7689.9824,200,0,356,93
10080,4648,200,0,397,92
4742,7110,200,0,468,91
6616,9996,200,0,33,90
8773.18,6706.11,200,0,694,89
3048,10846,200,0,590,88
9660,4756,200,0,340,88
10472,4334,200,0,56,87
11624,7060,200,0,190,83
9742,6348,200,0,290,82
5654,3512,200,0,51,82
4948,8436,200,0,170,81
7098,3106,200,0,125,80
4814,10094,200,0,152,80
10462,3054,200,0,347,79
11800,5938,200,0,282,79
5472.4863,10344.949,200,0,49,79
9560,4242,200,0,413,78
6287.487,10303.315,200,0,158,75
4332,11850,200,0,362,74
12266,8806,200,0,15,74
6796,8492,200,0,392,72
8292,10214,200,0,205,71
5223.208,10925.248,200,0,100,71
10048,3990,200,0,82,71
7864,3544,200,0,81,71
8600,4590,200,0,124,68
9094,2082,200,0,168,66
9418,11440,200,0,60,65
10006,7872,200,0,145,64
9490,2142,200,0,117,60
11140,12154,200,0,16,58
2286,9778,200,0,45,57
6712,11446,200,0,39,57
7714,11770,200,0,29,57
9024,11344,200,0,16,56
4460,9726,200,0,26,55
2609.129,8035.0166,200,0,16,54
1700,12888,200,0,15,54
1348.8438,13290.332,200,0,20,52
4706.428,10875.463,200,0,12,49
12356,1432,200,0,54,48
7144,9162,200,0,22,47
12612,4848,200,0,111,45
8226,11766,200,0,13,43
5310,2164,200,0,24,42
13512,2686,200,0,99,41
12990,1978,200,0,49,40
5812,12762,200,0,33,38
9074,7326,200,0,12,33
1234,12054,200,0,13,32
12178,7270,200,0,12,31
6143.923,3910.2324,200,0,25,31
7680,8856,200,0,12,28
2838,10334,200,0,25,13
