x,y,team,type,popularity,score
5021.6904,9997.713,200,2,12,129
5298,10396,200,2,78,81
10964,4336,200,2,35,81
9212,2098,200,2,46,78
4230,4528,200,2,15,75
5872,12810,200,2,57,72
8484,4750,200,2,117,71
5204,9156,200,2,71,69
10038,4718,200,2,31,69
4356,11454,200,2,16,67
6908,11368,200,2,52,65
9454,5710,200,2,80,64
10244,2560,200,2,25,64
6598,10070,200,2,30,63
4754,8402,200,2,81,63
5536,3520,200,2,56,62
3010,9134,200,2,27,62
11966,5772,200,2,37,62
7862,3542,200,2,39,60
8460,6494,200,2,45,59
3398,7820,200,2,107,59
7916,11848,200,2,23,58
4832,7094,200,2,261,58
12552,4934,200,2,13,57
5173.8467,8507.02,200,2,15,57
14008,7012,200,2,20,57
11960,5092,200,2,16,57
6522,4668,200,2,96,54
11396,7198,200,2,92,54
6802,3124,200,2,210,53
8946,3896,200,2,18,53
10906,8624,200,2,36,52
9786,2560,200,2,16,51
9982,7768,200,2,60,49
3174,10826,200,2,128,49
11862,3866,200,2,48,46
7812,772,200,2,21,46
8196,10278,200,2,156,45
10434,3028,200,2,96,43
2826,6776,200,2,16,41
6722,8386,200,2,26,40
9924.725,6607.552,200,2,22,36
10126,4182,200,2,11,33
4816,10700,200,2,19,28
4698.3774,12008.771,200,2,12,28
2174,10004,200,2,25,26
782,7976,200,2,12,19
