x,y,team,type,popularity,score
4878,10064,100,3,496,107
5287.2725,10090.199,100,3,279,98
4642,10436,100,3,62,96
10276,4428,100,3,222,94
12010.652,6436.4727,100,3,420,86
10636,4682,100,3,126,81
7228.0605,10652.148,100,3,111,80
11950,7390,100,3,264,78
5222,9150,100,3,1156,77
9026,8888,100,3,192,77
4876,8320,100,3,136,77
11620,7112,100,3,523,76
9362,11528,100,3,148,75
11450,7504,100,3,138,75
11874,5878,100,3,817,74
8422.855,9601.07,100,3,276,74
7114,3042,100,3,166,74
9524.323,6958.5293,100,3,304,73
9349.918,4668.4766,100,3,286,73
6900.99,9608.914,100,3,45,73
8266,10214,100,3,1151,72
7778,11788,100,3,980,72
7008,11376,100,3,252,72
10754.546,8358.835,100,3,115,72
6518,9166,100,3,96,72
5224,8522,100,3,361,71
8174.3994,11698.395,100,3,140,71
12362.455,6058.4775,100,3,84,71
5823.729,10257.791,100,3,55,71
8178,7976,100,3,159,70
10890,11344,100,3,75,70
9396,5690,100,3,7696,69
10928,4334,100,3,276,69
11015.748,6352.5566,100,3,47,68
6716,3168,100,3,91,67
10714.418,6959.522,100,3,45,67
9862,6474,100,3,751,66
10070,4774,100,3,636,66
11570.805,5206.131,100,3,324,65
3380,7734,100,3,423,64
8134,4814,100,3,46,64
4260.0986,9088.238,100,3,116,63
8608,4750,100,3,3132,62
3040,8988,100,3,1112,62
8278,3538,100,3,273,62
9494,2128,100,3,53,62
6324,10146,100,3,700,61
10089.85,7913.5625,100,3,501,61
7850,3494,100,3,318,61
7018.8306,8754.07,100,3,145,61
7776.35,9287.746,100,3,277,60
7452,9900,100,3,136,60
11102,4704,100,3,114,60
8478,8256,100,3,114,58
6808.744,10756.684,100,3,45,58
10296,3004,100,3,1613,57
8476,6438,100,3,385,57
8569.389,2102.5208,100,3,78,57
3490,11046,100,3,57,57
12304,10348,100,3,52,57
8018,6170,100,3,4324,56
4762,7186,100,3,261,56
5602,3502,100,3,185,56
9982,3928,100,3,175,56
13932,6056,100,3,49,56
11746,4008,100,3,6824,55
6510,4562,100,3,904,55
9007.372,2060.7239,100,3,666,54
12630,4866,100,3,464,54
9538,4290,100,3,155,54
5678,12636,100,3,133,54
6175.909,8097.9653,100,3,514,53
4462,11878,100,3,369,53
2248,9514,100,3,138,53
9673.815,8760.713,100,3,54,53
7552,8200,100,3,48,53
11972,3668,100,3,1164,51
6538,8306,100,3,512,51
2960,11058,100,3,378,50
11876,4792,100,3,130,50
12424,1412,100,3,242,48
1164,12358,100,3,44,47
12956,1948,100,3,473,46
8046,5492,100,3,120,46
12367.112,4499.3506,100,3,86,46
7371.535,12656.662,100,3,66,46
8864.826,7297.301,100,3,194,45
12068,8802,100,3,66,45
7788,7750,100,3,564,44
12502,5302,100,3,244,44
7286,14114,100,3,54,44
10320,2202,100,3,50,44
13522,2668,100,3,513,42
6973.753,5619.9585,100,3,52,40
7516,2226,100,3,46,40
10276.605,9063.181,100,3,63,38
4173.6914,5804.9688,100,3,49,35
8786,5904,100,3,96,32
2598,13460,100,3,47,28
13268,10280,100,3,64,21
