x,y,team,type,popularity,score
10632.268,4348.8223,100,3,102,151
5074.0327,10001.362,100,3,332,94
5560,11122,100,3,129,94
11814,6384,100,3,108,93
10902.781,8142.6055,100,3,84,83
10588,5058,100,3,75,79
8528,9590,100,3,49,79
8278,5388,100,3,46,78
5238,9162,100,3,1162,77
5757.798,10748.628,100,3,85,76
10183.632,4448.8477,100,3,78,75
11540,7130,100,3,1208,74
6912,9686,100,3,53,74
9773.119,6912.884,100,3,208,73
12172,7412,100,3,189,73
8252,10226,100,3,2292,72
11914,5882,100,3,613,72
11019.539,6347.4873,100,3,86,72
5156,8542,100,3,904,71
9319.255,4510.8984,100,3,506,71
6948,11338,100,3,263,71
7028,3078,100,3,204,71
7714,11754,100,3,178,71
9350,5694,100,3,1787,70
8144,11778,100,3,176,70
8846,8940,100,3,155,70
6622,11592,100,3,96,70
10996,4836,100,3,51,70
9832,6420,100,3,761,69
12325.254,6208.051,100,3,115,69
9400,9416,100,3,72,69
11154,5532,100,3,50,68
8274,8254,100,3,105,67
5821.853,10308.283,100,3,65,67
11556,7642,100,3,152,66
3370,7690,100,3,780,65
7526,9734,100,3,336,65
8326,3554,100,3,144,65
10744,7014,100,3,98,65
6819.6226,10640.31,100,3,276,64
4586.8857,12053.354,100,3,165,64
9830,4814,100,3,109,64
4276.709,9089.219,100,3,62,63
2262,9444,100,3,46,63
6288,10144,100,3,1398,62
10028,7748,100,3,717,62
2974.8174,8958.246,100,3,536,62
8662,4644,100,3,389,62
8172,4760,100,3,120,62
12414,10234,100,3,78,62
8682,6670,100,3,348,61
10155.616,12099.091,100,3,56,61
6861.839,8860.902,100,3,364,60
9454,2134,100,3,315,60
7874.285,9288.424,100,3,1124,59
7928,3492,100,3,244,59
5358,10534,100,3,205,59
9180,11396,100,3,129,59
10222,2918,100,3,2404,58
8388,6374,100,3,548,58
10606,3082,100,3,239,58
5519.2324,3307.1035,100,3,164,58
11973.879,10257.951,100,3,65,58
8022,6204,100,3,1228,57
4724,7180,100,3,252,57
13168.33,6310.5903,100,3,140,57
6552,4716,100,3,776,56
9171.586,7050.9844,100,3,395,56
9950,8334,100,3,126,55
11612,5150,100,3,705,54
6173.077,8093.09,100,3,504,54
9848,3892,100,3,248,54
9011.211,2061.4297,100,3,225,54
4346,11734,100,3,422,53
1312,12510,100,3,66,53
11760,3814,100,3,881,51
6604,8330,100,3,443,51
12072.449,4555.461,100,3,162,51
10823.486,9800.049,100,3,93,51
6422,9554,100,3,81,51
12526,5206,100,3,316,50
3002,11096,100,3,1137,49
12968,2016,100,3,332,49
5972,12726,100,3,144,49
7728,7510,100,3,118,48
11573.885,10460.7,100,3,54,48
7734,7924,100,3,61,45
13582,2330,100,3,56,43
12944,3304,100,3,52,43
4023.991,5804.4517,100,3,78,42
13532,2730,100,3,416,41
2126,9976,100,3,109,40
12224,1388,100,3,2850,39
6816.653,5619.8604,100,3,308,36
2017.1085,8405.263,100,3,84,29
6888,6946,100,3,60,29
7742,8386,100,3,60,29
1196,12114,100,3,85,27
2404,13394,100,3,69,26
13268,10280,100,3,64,21
