x,y,team,type,popularity,score
9366.625,4659.1777,100,3,81,129
10178,4736,100,3,38,128
11542,7204,100,3,142,127
11904,5876,100,3,103,124
9366,5668,100,3,673,108
8284,10168,100,3,489,107
7120.6406,8649.492,100,3,44,105
7800,11834,100,3,94,103
9756,3854,100,3,76,101
9513.572,6934.308,100,3,123,98
3416,7762,100,3,147,96
7714,9406,100,3,21,95
9352,11434,100,3,89,94
9922.641,7807.2813,100,3,295,91
7388.627,12670.273,100,3,27,88
11768,8874,100,3,23,88
8150,6222,100,3,1346,87
4215.4604,9149.476,100,3,24,85
8716,8776,100,3,12,84
11868,3822,100,3,85,83
6264,10136,100,3,374,82
5986.801,12773.787,100,3,28,82
8566.195,4606.9927,100,3,109,79
4916.3145,3109.1646,100,3,12,77
10252,2952,100,3,289,76
11367.928,9599.078,100,3,13,76
2994,10936,100,3,46,74
6550,4726,100,3,519,73
5718.8545,3485.8237,100,3,81,72
4848,7010,100,3,63,71
4246,11786,100,3,77,67
6388,8184,100,3,168,65
6806,5536,100,3,36,64
5653.2363,10936.727,100,3,13,62
2188,9604,100,3,34,59
14078,6944,100,3,23,54
7624.3955,2107.9692,100,3,16,54
9088,2132,100,3,82,51
12212,1336,100,3,36,45
3924.9463,5786.7324,100,3,11,41
